seed_id,policy,bound_k,fault_mode,runs_n,mismatch_rate,timeout_rate,crash_rate,RD_mean,RD_std,FE_mean,FE_std,pending_peak_mean,pending_peak_std,pending_peak_median,pending_area_mean,pending_area_std,pending_area_median,SSI_area,SSI,RCS_mean,RCS_std
seed_001_long32,FIFO,0,NONE,100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.990000,0.099499,4.000000,67.660000,11.239413,67.000000,0.166116,0.024937,1.000000,0.000000
seed_001_long32,FIFO,0,RESET,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.997895,0.004210,3.920000,0.305941,4.000000,38.100000,8.613362,38.000000,0.226072,0.078046,1.000000,0.000000
seed_001_long32,FIFO,0,TIMEOUT,100,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.920000,0.305941,4.000000,39.220000,8.970596,39.500000,0.228725,0.078046,1.000000,0.000000
seed_001_long32,FIFO,1,NONE,100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.990000,0.099499,4.000000,67.660000,11.239413,67.000000,0.166116,0.024937,1.000000,0.000000
seed_001_long32,FIFO,1,RESET,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.997895,0.004210,3.920000,0.305941,4.000000,38.100000,8.613362,38.000000,0.226072,0.078046,1.000000,0.000000
seed_001_long32,FIFO,1,TIMEOUT,100,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.920000,0.305941,4.000000,39.220000,8.970596,39.500000,0.228725,0.078046,1.000000,0.000000
seed_001_long32,FIFO,2,NONE,100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.990000,0.099499,4.000000,67.660000,11.239413,67.000000,0.166116,0.024937,1.000000,0.000000
seed_001_long32,FIFO,2,RESET,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.997895,0.004210,3.920000,0.305941,4.000000,38.100000,8.613362,38.000000,0.226072,0.078046,1.000000,0.000000
seed_001_long32,FIFO,2,TIMEOUT,100,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.920000,0.305941,4.000000,39.220000,8.970596,39.500000,0.228725,0.078046,1.000000,0.000000
seed_001_long32,FIFO,3,NONE,100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.990000,0.099499,4.000000,67.660000,11.239413,67.000000,0.166116,0.024937,1.000000,0.000000
seed_001_long32,FIFO,3,RESET,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.997895,0.004210,3.920000,0.305941,4.000000,38.100000,8.613362,38.000000,0.226072,0.078046,1.000000,0.000000
seed_001_long32,FIFO,3,TIMEOUT,100,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.920000,0.305941,4.000000,39.220000,8.970596,39.500000,0.228725,0.078046,1.000000,0.000000
seed_001_long32,FIFO,5,NONE,100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.990000,0.099499,4.000000,67.660000,11.239413,67.000000,0.166116,0.024937,1.000000,0.000000
seed_001_long32,FIFO,5,RESET,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.997895,0.004210,3.920000,0.305941,4.000000,38.100000,8.613362,38.000000,0.226072,0.078046,1.000000,0.000000
seed_001_long32,FIFO,5,TIMEOUT,100,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.920000,0.305941,4.000000,39.220000,8.970596,39.500000,0.228725,0.078046,1.000000,0.000000
seed_001_long32,FIFO,10,NONE,100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.990000,0.099499,4.000000,67.660000,11.239413,67.000000,0.166116,0.024937,1.000000,0.000000
seed_001_long32,FIFO,10,RESET,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.997895,0.004210,3.920000,0.305941,4.000000,38.100000,8.613362,38.000000,0.226072,0.078046,1.000000,0.000000
seed_001_long32,FIFO,10,TIMEOUT,100,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.920000,0.305941,4.000000,39.220000,8.970596,39.500000,0.228725,0.078046,1.000000,0.000000
seed_001_long32,FIFO,inf,NONE,100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.990000,0.099499,4.000000,67.660000,11.239413,67.000000,0.166116,0.024937,1.000000,0.000000
seed_001_long32,FIFO,inf,RESET,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.997895,0.004210,3.920000,0.305941,4.000000,38.100000,8.613362,38.000000,0.226072,0.078046,1.000000,0.000000
seed_001_long32,FIFO,inf,TIMEOUT,100,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.920000,0.305941,4.000000,39.220000,8.970596,39.500000,0.228725,0.078046,1.000000,0.000000
seed_001_long32,RANDOM,0,NONE,100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.990000,0.099499,4.000000,66.600000,12.507598,66.000000,0.187802,0.024937,1.000000,0.000000
seed_001_long32,RANDOM,0,RESET,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.997579,0.004430,3.960000,0.195959,4.000000,37.530000,9.208100,39.000000,0.245353,0.049485,1.000000,0.000000
